Method,Robots,Tasks,Candidates,Score,Length
ilp_task_allocation,10,7,100,4.570663672167431,21189.9
jv_task_allocation,10,7,100,4.570663672167432,99.8
rank_assignments_borda,10,7,100,4.986704258222607,575.0
rank_assignments_approval,10,7,100,3.2121212121212124,418.7
rank_assignments_majority_judgment,10,7,100,4.036113495601769,762.3
rank_assignments_cumulative_voting,10,7,100,5.14316684325662,649.6
rank_assignments_condorcet_method,10,7,100,4.945887931691995,45602.6
rank_assignments_range,10,7,100,5.143166843256621,126.1
cbba_task_allocation,10,7,100,5.14316684325662,81.9
ssia_task_allocation,10,7,100,5.14316684325662,10.1
ilp_task_allocation,10,7,100,5.14316684325662,23204.5
jv_task_allocation,10,7,100,5.14316684325662,126.0
rank_assignments_borda,10,10,10,6.48003124694854,74.9
rank_assignments_approval,10,10,10,3.4512091918106953,56.3
rank_assignments_majority_judgment,10,10,10,2.3047400778493214,137.0
rank_assignments_cumulative_voting,10,10,10,5.536635706914344,93.6
rank_assignments_condorcet_method,10,10,10,4.537334551045298,481.9
rank_assignments_range,10,10,10,7.010043251750461,18.6
cbba_task_allocation,10,10,10,7.520847573479153,68.3
ssia_task_allocation,10,10,10,7.4324381639138,11.1
ilp_task_allocation,10,10,10,7.520847573479153,23833.5
jv_task_allocation,10,10,10,7.520847573479153,89.6
rank_assignments_borda,10,10,10,4.438157566818772,76.4
rank_assignments_approval,10,10,10,4.730976129650603,56.7
rank_assignments_majority_judgment,10,10,10,5.576612948971634,139.3
rank_assignments_cumulative_voting,10,10,10,6.24220550178223,98.1
rank_assignments_condorcet_method,10,10,10,4.576612948971634,477.4
rank_assignments_range,10,10,10,4.6097635226339335,18.5
cbba_task_allocation,10,10,10,8.322121678779347,66.8
ssia_task_allocation,10,10,10,7.145967006384072,11.7
ilp_task_allocation,10,10,10,8.322121678779345,22421.6
jv_task_allocation,10,10,10,8.322121678779347,98.8
rank_assignments_borda,10,10,10,2.4399737211631938,76.2
rank_assignments_approval,10,10,10,0.7690166975881261,58.3
rank_assignments_majority_judgment,10,10,10,1.6066144232455533,135.9
rank_assignments_cumulative_voting,10,10,10,1.6066144232455533,91.1
rank_assignments_condorcet_method,10,10,10,1.6066144232455533,482.4
rank_assignments_range,10,10,10,1.6806072880227734,18.6
cbba_task_allocation,10,10,10,2.5726267823876836,53.6
ssia_task_allocation,10,10,10,2.5726267823876836,14.0
ilp_task_allocation,10,10,10,2.5726267823876836,22178.7
jv_task_allocation,10,10,10,2.5726267823876836,91.2
rank_assignments_borda,10,10,10,3.3612145760455467,74.3
rank_assignments_approval,10,10,10,2.551638837353123,56.1
rank_assignments_majority_judgment,10,10,10,1.5924551638837352,130.3
rank_assignments_cumulative_voting,10,10,10,3.314285639746238,88.4
rank_assignments_condorcet_method,10,10,10,4.335378287331588,480.4
rank_assignments_range,10,10,10,5.002786994486607,18.7
cbba_task_allocation,10,10,10,5.470058113460513,66.5
ssia_task_allocation,10,10,10,5.470058113460513,12.4
ilp_task_allocation,10,10,10,5.470058113460513,21747.8
jv_task_allocation,10,10,10,5.470058113460513,91.8
rank_assignments_borda,10,10,10,4.547229418083023,74.9
rank_assignments_approval,10,10,10,4.742923123447852,57.0
rank_assignments_majority_judgment,10,10,10,1.8313325330132053,138.8
rank_assignments_cumulative_voting,10,10,10,4.4588200085176695,89.5
rank_assignments_condorcet_method,10,10,10,4.4588200085176695,536.6
rank_assignments_range,10,10,10,7.465085201161892,18.0
cbba_task_allocation,10,10,10,7.686173636536042,64.6
ssia_task_allocation,10,10,10,7.686173636536042,11.6
ilp_task_allocation,10,10,10,7.686173636536041,23478.9
jv_task_allocation,10,10,10,7.686173636536041,87.5
rank_assignments_borda,10,10,25,3.8597319524824854,175.4
rank_assignments_approval,10,10,25,3.3384704332808766,134.1
rank_assignments_majority_judgment,10,10,25,3.5579949754664417,250.4
rank_assignments_cumulative_voting,10,10,25,6.498685846779077,203.3
rank_assignments_condorcet_method,10,10,25,5.455980123724219,3196.8
rank_assignments_range,10,10,25,5.33099281536804,42.3
cbba_task_allocation,10,10,25,6.54033924050526,81.0
ssia_task_allocation,10,10,25,5.600700698521301,11.5
ilp_task_allocation,10,10,25,6.54033924050526,20838.6
jv_task_allocation,10,10,25,6.540339240505258,88.3
rank_assignments_borda,10,10,25,6.041679844115036,172.6
rank_assignments_approval,10,10,25,8.777141726738718,131.7
rank_assignments_majority_judgment,10,10,25,3.498080100425516,242.8
rank_assignments_cumulative_voting,10,10,25,5.074709426485814,211.6
rank_assignments_condorcet_method,10,10,25,5.014185709750674,3166.1
rank_assignments_range,10,10,25,6.953703260443109,47.7
cbba_task_allocation,10,10,25,8.777141726738718,57.8
ssia_task_allocation,10,10,25,7.993965769788773,11.0
