Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3744.8,0,109,0,23.3,0,73674.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3716.6,0,101.5,0,22.6,0,68933.2
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4477.7,0,108.4,0,24,0,71295.5
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4711.6,0,117.1,0,25.6,0,72501.7
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4365.3,0,120.2,0,27.3,0,72455.9
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4798,0,119.6,0,25.7,0,72889.6
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3995.5,0,108.3,0,23.1,0,71591.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,14.9564841,3917,14.9564841,109.4,14.9564841,22.3,14.9564841,70120.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4976.8,0,105.6,0,22.7,0,75331
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3828.8,0,101.1,0,22.1,0,73226.2
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3810.4,0,108.6,0,24.5,0,70010.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4746.7,0,104.5,0,22.9,0,75277.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3657,0,94.1,0,20.5,0,69266.6
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3528.8,0,102.1,0,22.6,0,72403.6
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4739.6,0,104.5,0,22.7,0,74387.9
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3913.4,12.53535654,109.2,12.53535654,26,12.53535654,66680.3
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3582.2,0,101.4,0,21.9,0,72558.9
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,4557.9,0,113.1,0,25.3,0,75303
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3753.7,12.7559658,105,12.7559658,24.1,12.7559658,71106.5
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_strict,0,3974.3,0,109.6,0,23.4,0,70924.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,2.224984609,4815.1,2.95919746,189.3,2.745763809,27.4,2.95919746,76083
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,5.108552416,3629.3,5.388823335,140.1,3.997331191,21.3,5.409622661,68475.7
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,1.506234245,3424.7,3.908750591,120.4,3.990579109,20.9,3.990579109,71043
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,1.655821065,5089.8,10.30256884,123.3,10.30256884,25,10.30256884,73792.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,5.015647376,3668.5,5.416095926,131.8,4.69396537,21.8,5.476165655,73372
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,3.10703787,3454,3.078176443,143.8,2.65922,20.5,3.304515915,66571.3
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_distance,2.436931225,4716.7,6.730994367,130.2,3.786868211,25.3,6.730994367,71311.9
